P1,95.322,37.55,152.779,0,0,0
P2,96.549,36.379,152.725,0,0,0
P3,97.716,35.263,152.668,0,0,0
P4,98.822,34.2,152.606,0,0,0
P5,99.869,33.19,152.541,0,0,0
P6,100.856,32.235,152.472,0,0,0
P7,101.86,31.332,152.401,0,0,0
P8,102.827,30.331,152.334,0,0,0
P9,103.79,29.356,152.241,0,0,0
P10,104.327,28.623,152.215,0,0,0
P11,105.008,28.002,152.116,0,0,0
P12,105.604,27.828,152.042,0,0,0
P13,106.312,27.46,151.866,0,0,0
P14,106.93,27.407,151.638,0,0,0
P15,107.61,27.009,151.27,0,0,0
P16,108.643,25.942,150.943,0,0,0
P17,109.546,24.854,150.663,0,0,0
P18,110.826,22.988,150.524,0,0,0
P19,112.007,21.295,150.544,0,0,0
P20,113.109,19.236,150.725,0,0,0
P21,114.061,17.816,150.933,0,0,0
P22,114.717,16.719,151.206,0,0,0
P23,115.508,14.779,151.368,0,0,0
P24,116.05,12.931,151.467,0,0,0
P25,116.67,10.432,151.408,0,0,0
P26,117.261,8.251,151.392,0,0,0
P27,117.553,6.154,151.331,0,0,0
P28,117.934,4.446,151.318,0,0,0
P29,117.744,2.726,151.293,0,0,0
P30,117.564,0.887,151.296,0,0,0
P31,117.43,0.125,151.31,0,0,0
P32,117.184,-1.268,151.353,0,0,0
P33,117.088,-2.934,151.417,0,0,0
P34,116.743,-4.957,151.509,0,0,0
P35,116.307,-7.009,151.615,0,0,0
P36,115.612,-8.945,151.738,0,0,0
P37,114.902,-11.028,151.825,0,0,0
P38,114.731,-12.17,151.842,0,0,0
P39,113.866,-14.058,151.837,0,0,0
P40,113.563,-15.261,151.834,0,0,0
P41,112.616,-16.467,151.84,0,0,0
P42,111.606,-18.051,151.842,0,0,0
P43,109.839,-19.788,151.884,0,0,0
P44,106.832,-22.362,152.032,0,0,0
P45,103.77,-24.785,152.227,0,0,0
P46,99.825,-27.549,152.489,0,0,0
P47,96.233,-29.9,152.716,0,0,0
P48,92.921,-31.69,152.939,0,0,0
P49,90.213,-33.353,153.167,0,0,0
P50,87.92,-34.342,153.349,0,0,0
P51,84.772,-35.778,153.519,0,0,0
P52,82.915,-36.793,153.609,0,0,0
P53,79.547,-38.095,153.717,0,0,0
P54,76.46,-39.317,153.817,0,0,0
P55,72.434,-40.353,153.911,0,0,0
P56,68.173,-41.572,154.031,0,0,0
P57,63.149,-42.525,154.134,0,0,0
P58,57.068,-43.216,154.217,0,0,0
P59,51.946,-43.412,154.257,0,0,0
P60,45.869,-43.401,154.253,0,0,0
P61,40.692,-43.467,154.244,0,0,0
P62,35.947,-43.226,154.17,0,0,0
P63,31.8,-43.016,154.086,0,0,0
P64,28.461,-42.748,153.978,0,0,0
P65,23.008,-42.135,153.844,0,0,0
P66,18.787,-41.713,153.726,0,0,0
P67,12.127,-40.507,153.559,0,0,0
P68,4.929,-38.761,153.349,0,0,0
P69,-2.21,-36.691,153.131,0,0,0
P70,-8.673,-34.557,152.928,0,0,0
P71,-14.48,-32.616,152.753,0,0,0
P72,-20.262,-30.885,152.588,0,0,0
P73,-23.448,-29.765,152.503,0,0,0
P74,-26.993,-29.127,152.437,0,0,0
P75,-29.836,-28.629,152.367,0,0,0
P76,-32.503,-28.763,152.324,0,0,0
P77,-35.845,-28.419,152.256,0,0,0
P78,-39.46,-28.341,152.177,0,0,0
P79,-44.433,-28.326,152.097,0,0,0
P80,-48.804,-28.396,152.028,0,0,0
P81,-54.75,-28.56,151.969,0,0,0
P82,-59.851,-28.633,151.944,0,0,0
P83,-64.709,-28.902,151.949,0,0,0
P84,-69.135,-29.16,151.936,0,0,0
P85,-72.775,-29.477,151.941,0,0,0
P86,-77.078,-29.999,151.977,0,0,0
P87,-79.333,-30.504,152.049,0,0,0
P88,-82.809,-31.315,152.11,0,0,0
P89,-86.342,-32.056,152.168,0,0,0
P90,-90.007,-32.825,152.226,0,0,0
P91,-93.837,-33.602,152.298,0,0,0
P92,-97.154,-34.054,152.346,0,0,0
P93,-101.284,-34.681,152.383,0,0,0
P94,-104.382,-35.301,152.399,0,0,0
P95,-108.083,-35.805,152.422,0,0,0
P96,-111.175,-36.372,152.468,0,0,0
P97,-113.198,-36.558,152.516,0,0,0
P98,-115.519,-36.676,152.548,0,0,0
P99,-116.986,-36.121,152.565,0,0,0
P100,-118.818,-35.777,152.599,0,0,0
P101,-119.402,-35.588,152.638,0,0,0
P102,-120.748,-35.368,152.655,0,0,0
P103,-121.903,-35.331,152.727,0,0,0
P104,-123.7,-35.672,152.742,0,0,0
P105,-126.138,-36.323,152.749,0,0,0
P106,-129.103,-37.193,152.712,0,0,0
P107,-132.96,-37.421,152.566,0,0,0
P108,-136.666,-37.05,152.372,0,0,0
P109,-140.547,-36.161,152.1,0,0,0
P110,-143.694,-35.894,151.845,0,0,0
P111,-146.241,-35.266,151.55,0,0,0
P112,-148.624,-34.793,151.266,0,0,0
P113,-150.382,-33.613,151.019,0,0,0
P114,-153.027,-32.067,150.778,0,0,0
P115,-155.137,-30.848,150.614,0,0,0
P116,-157.719,-28.827,150.505,0,0,0
P117,-160.521,-26.218,150.416,0,0,0
P118,-162.791,-23.143,150.413,0,0,0
P119,-164.756,-20.425,150.436,0,0,0
P120,-165.561,-18.06,150.504,0,0,0
P121,-166.477,-16.084,150.532,0,0,0
P122,-166.552,-15.122,150.568,0,0,0
P123,-167.112,-14.318,150.566,0,0,0
P124,-168.104,-14.148,150.542,0,0,0
P125,-169.054,-14.681,150.506,0,0,0
P126,-170.158,-15.087,150.477,0,0,0
P127,-171.193,-15.683,150.454,0,0,0
P128,-172.148,-15.527,150.459,0,0,0
P129,-172.798,-15.063,150.482,0,0,0
P130,-173.128,-13.888,150.51,0,0,0
P131,-173.573,-12.991,150.544,0,0,0
P132,-173.841,-11.534,150.602,0,0,0
P133,-174.388,-9.995,150.658,0,0,0
P134,-174.798,-8.443,150.709,0,0,0
P135,-175.138,-6.92,150.75,0,0,0
P136,-175.413,-5.842,150.777,0,0,0
P137,-175.562,-4.888,150.785,0,0,0
P138,-175.706,-4.171,150.797,0,0,0
